transaction_id,timestamp,merchant_id,customer_id,amount,payment_method,payment_status,failure_reason,device_type,customer_type,product_category,refund_status,checkout_step_reached
TXN_100001,2025-11-20 00:01:42,mer_paypilot_01,CUST_00869,7182.06,UPI,SUCCESS,None,Desktop,NEW,Electronics,NO_REFUND,PAYMENT_COMPLETED
TXN_100002,2025-11-20 00:16:11,mer_paypilot_01,CUST_01304,3921.33,UPI,SUCCESS,None,Mobile_Android,NEW,Home_Kitchen,NO_REFUND,PAYMENT_COMPLETED
TXN_100003,2025-11-20 00:25:38,mer_paypilot_01,CUST_00791,4106.51,Debit_Card,DROPPED,USER_ABORTED,Mobile_Android,NEW,Fashion,NO_REFUND,PAYMENT_INITIATED
TXN_100004,2025-11-20 00:40:44,mer_paypilot_01,CUST_02949,3963.75,Credit_Card,SUCCESS,None,Desktop,NEW,Fashion,NO_REFUND,PAYMENT_COMPLETED
TXN_100005,2025-11-20 00:54:01,mer_paypilot_01,CUST_01617,2525.08,Credit_Card,SUCCESS,None,Mobile_iOS,NEW,Fashion,NO_REFUND,PAYMENT_COMPLETED
TXN_100006,2025-11-20 00:58:15,mer_paypilot_01,CUST_02654,5826.02,UPI,SUCCESS,None,Desktop,NEW,Electronics,NO_REFUND,PAYMENT_COMPLETED
TXN_100007,2025-11-20 01:07:13,mer_paypilot_01,CUST_02421,1541.32,UPI,SUCCESS,None,Desktop,NEW,Beauty_Personal_Care,NO_REFUND,PAYMENT_COMPLETED
TXN_100008,2025-11-20 01:13:37,mer_paypilot_01,CUST_01469,1789.81,Credit_Card,SUCCESS,None,Mobile_Android,NEW,Home_Kitchen,NO_REFUND,PAYMENT_COMPLETED
TXN_100009,2025-11-20 01:14:00,mer_paypilot_01,CUST_00786,1372.17,Debit_Card,SUCCESS,None,Desktop,NEW,Grocery,NO_REFUND,PAYMENT_COMPLETED
TXN_100010,2025-11-20 01:23:14,mer_paypilot_01,CUST_03175,1916.83,Wallet,SUCCESS,None,Mobile_Android,NEW,Home_Kitchen,NO_REFUND,PAYMENT_COMPLETED
TXN_100011,2025-11-20 01:29:26,mer_paypilot_01,CUST_02478,1873.62,UPI,SUCCESS,None,Desktop,NEW,Grocery,FULL_REFUND,PAYMENT_COMPLETED
TXN_100012,2025-11-20 01:46:52,mer_paypilot_01,CUST_01887,2295.61,Credit_Card,SUCCESS,None,Mobile_iOS,NEW,Home_Kitchen,NO_REFUND,PAYMENT_COMPLETED
TXN_100013,2025-11-20 02:00:01,mer_paypilot_01,CUST_02541,471.57,Credit_Card,SUCCESS,None,Mobile_Android,NEW,Grocery,NO_REFUND,PAYMENT_COMPLETED
TXN_100014,2025-11-20 02:03:48,mer_paypilot_01,CUST_02684,3866.13,Debit_Card,SUCCESS,None,Mobile_Android,NEW,Fashion,NO_REFUND,PAYMENT_COMPLETED
TXN_100015,2025-11-20 02:08:18,mer_paypilot_01,CUST_01692,704.21,Credit_Card,SUCCESS,None,Desktop,NEW,Grocery,NO_REFUND,PAYMENT_COMPLETED
TXN_100016,2025-11-20 02:08:37,mer_paypilot_01,CUST_01202,1875.4,Credit_Card,SUCCESS,None,Mobile_Android,NEW,Grocery,NO_REFUND,PAYMENT_COMPLETED
TXN_100017,2025-11-20 02:14:32,mer_paypilot_01,CUST_01941,3211.3,UPI,SUCCESS,None,Mobile_Android,NEW,Fashion,NO_REFUND,PAYMENT_COMPLETED
TXN_100018,2025-11-20 02:16:20,mer_paypilot_01,CUST_00092,8191.17,Netbanking,FAILED,BANK_SERVER_TIMEOUT,Tablet,VIP,Electronics,NO_REFUND,PAYMENT_INITIATED
TXN_100019,2025-11-20 02:18:20,mer_paypilot_01,CUST_00166,3981.73,UPI,SUCCESS,None,Mobile_Android,VIP,Home_Kitchen,NO_REFUND,PAYMENT_COMPLETED
TXN_100020,2025-11-20 02:21:31,mer_paypilot_01,CUST_00246,1775.39,Debit_Card,SUCCESS,None,Mobile_iOS,NEW,Beauty_Personal_Care,NO_REFUND,PAYMENT_COMPLETED
TXN_100021,2025-11-20 02:39:48,mer_paypilot_01,CUST_00293,563.93,UPI,SUCCESS,None,Desktop,NEW,Beauty_Personal_Care,NO_REFUND,PAYMENT_COMPLETED
TXN_100022,2025-11-20 02:45:04,mer_paypilot_01,CUST_01579,6371.45,UPI,SUCCESS,None,Mobile_iOS,NEW,Electronics,NO_REFUND,PAYMENT_COMPLETED
TXN_100023,2025-11-20 02:47:10,mer_paypilot_01,CUST_02442,2136.71,Netbanking,SUCCESS,None,Mobile_Android,NEW,Fashion,NO_REFUND,PAYMENT_COMPLETED
TXN_100024,2025-11-20 02:50:43,mer_paypilot_01,CUST_00174,1421.59,Debit_Card,SUCCESS,None,Tablet,VIP,Home_Kitchen,NO_REFUND,PAYMENT_COMPLETED
TXN_100025,2025-11-20 03:23:36,mer_paypilot_01,CUST_02977,2108.88,UPI,FAILED,BANK_SERVER_TIMEOUT,Mobile_iOS,NEW,Fashion,NO_REFUND,PAYMENT_INITIATED
TXN_100026,2025-11-20 03:31:21,mer_paypilot_01,CUST_02994,1426.48,UPI,SUCCESS,None,Mobile_Android,NEW,Beauty_Personal_Care,NO_REFUND,PAYMENT_COMPLETED
TXN_100027,2025-11-20 03:35:13,mer_paypilot_01,CUST_01766,1061.33,UPI,SUCCESS,None,Mobile_iOS,NEW,Grocery,NO_REFUND,PAYMENT_COMPLETED
TXN_100028,2025-11-20 03:43:30,mer_paypilot_01,CUST_00407,2892.57,Credit_Card,SUCCESS,None,Mobile_Android,NEW,Home_Kitchen,NO_REFUND,PAYMENT_COMPLETED
TXN_100029,2025-11-20 04:02:58,mer_paypilot_01,CUST_00574,2081.08,UPI,FAILED,INVALID_OTP,Tablet,NEW,Beauty_Personal_Care,NO_REFUND,PAYMENT_INITIATED
TXN_100030,2025-11-20 04:10:05,mer_paypilot_01,CUST_03009,1452.08,UPI,SUCCESS,None,Mobile_Android,NEW,Fashion,NO_REFUND,PAYMENT_COMPLETED
TXN_100031,2025-11-20 04:49:40,mer_paypilot_01,CUST_01968,3025.75,UPI,SUCCESS,None,Mobile_Android,NEW,Beauty_Personal_Care,NO_REFUND,PAYMENT_COMPLETED
TXN_100032,2025-11-20 04:52:42,mer_paypilot_01,CUST_02225,3110.84,UPI,SUCCESS,None,Desktop,NEW,Fashion,NO_REFUND,PAYMENT_COMPLETED
TXN_100033,2025-11-20 04:56:43,mer_paypilot_01,CUST_01477,3575.34,UPI,SUCCESS,None,Mobile_iOS,NEW,Fashion,NO_REFUND,PAYMENT_COMPLETED
TXN_100034,2025-11-20 04:59:13,mer_paypilot_01,CUST_03224,2471.66,Debit_Card,DROPPED,USER_ABORTED,Mobile_Android,NEW,Fashion,NO_REFUND,PAYMENT_INITIATED
TXN_100035,2025-11-20 05:12:05,mer_paypilot_01,CUST_02371,12526.05,UPI,SUCCESS,None,Mobile_iOS,NEW,Electronics,NO_REFUND,PAYMENT_COMPLETED
TXN_100036,2025-11-20 05:12:31,mer_paypilot_01,CUST_01879,3556.93,Debit_Card,SUCCESS,None,Mobile_Android,NEW,Fashion,NO_REFUND,PAYMENT_COMPLETED
TXN_100037,2025-11-20 05:16:07,mer_paypilot_01,CUST_00848,374.08,Credit_Card,SUCCESS,None,Desktop,NEW,Grocery,NO_REFUND,PAYMENT_COMPLETED
